url,code,scope,status,msg
"http://ec.europa.eu/about/ds_sk.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/yourvoice/consultations/index_it.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/cookie/index_en.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/priorities/global-actor/index_nl.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/contact/members_ga.htm","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood 404 Client Error: Not Found"" ]"
"http://ec.europa.eu/contact/guide_activity_fi.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://europa.eu/youreurope/citizens/health/index_fi.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/about/ds_fi.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://europa.eu/youreurope/citizens/work/index_lv.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/about/ds_lv.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/transport/contact/index_en.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/policies/transport_travel_en.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/policies/index_ro.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://europa.eu/rapid","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"javascript:;","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood No connection adapters were found for 'javascript:;'"" ]"
"http://ec.europa.eu/about/index_pt.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://europa.eu/youreurope/business/index_ro.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/news/2014/11/20141125_pt.htm","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood 404 Client Error: Not Found"" ]"
"http://ec.europa.eu/about/ds_cs.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/dgs/education_culture/index_en.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://www.jrc.ec.europa.eu/","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://europa.eu/youreurope/citizens/health/index_es.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://europa.eu/youreurope/business/index_et.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/cookies/index_et.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/contact/index_et.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/contact/index_hr.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://europa.eu/rapid/press-release_IP-14-1213_en.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/cookies/index_hu.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/news/2014/11/20141126_hu.htm","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood 404 Client Error: Not Found"" ]"
"http://ec.europa.eu/news/2014/11/20141125_hu.htm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://cordis.europa.eu/project/rcn/90762_en.html","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://cordis.europa.eu/project/rcn/94164_en.html","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://cordis.europa.eu/project/rcn/92482_en.html","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://cordis.europa.eu/project/rcn/90904_en.html","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://cordis.europa.eu/project/rcn/105486_en.html","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/551/486","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/599/497","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/news/car-collision-avoidance-sensors-inspired-locusts","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/news/e-infrastructures","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/news/could-smart-mirror-save-your-life","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/548/501","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/550/501","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/all/505/feed","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/news/call-proposals-erc-starting-grant-0","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/548/505","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/488","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/547/487","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/sme-instrument","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/551/487","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/550/503","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/all/586/feed","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/496","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/all/496/feed","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/599/496","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://www.citizen-obs.eu/","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/eusurvey/runner/CitObsEES2014","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/research/environment/index_en.cfm","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"https://ec.europa.eu/easme/en/horizon-2020-energy-efficiency-information-day","[ 800 ]",,"[ false ]","[ ""Article Query: not relevant"" ]"
"http://ec.europa.eu/research/participants/data/ref/h2020/wp/2014_2015/main/h2020-wp1415-swfs_en.pdf","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"https://myintracomm.ec.europa.eu;ecas_sessionid=rkrstqkpl0oaitt5tp4lcdkdtrhgbodukpzgxluqoebvexedcaviinwtt8rgqod3qfa!-1500138572","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood URL has an invalid label."" ]"
"http://ec.europa.eu/programmes/horizon2020/sites/horizon2020/files/styles/h2020_large/public/newsroom/desafio_wall_art_7978.jpg","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://eur-lex.europa.eu/JOHtml.do","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood 404 Client Error: Not Found"" ]"
"http://ec.europa.eu/research/participants/portal/doc/call/h2020/h2020-issi-2015-1.zip","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"mailto:","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood No connection adapters were found for 'mailto:'"" ]"
"http://ec.europa.eu/youth/calls-for-proposals/index_fr.htm","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood 404 Client Error: Not Found"" ]"
"http://ec.europa.eu/culture/media/index_fr.htm","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood 404 Client Error: Not Found"" ]"
"http://ec.europa.eu/consumers/tenders/information/grants/index_fr.htm","[ 400 ]",,"[ false ]","[ ""Requests: answer was not understood 404 Client Error: Not Found"" ]"
"http://ec.europa.eu/programmes/horizon2020/sites/horizon2020/files/styles/h2020_large/public/newsroom/info_daysc2_plenary_8132_0.jpg","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/sites/horizon2020/files/styles/h2020_large/public/newsroom/graphene-connect-small_8072.jpg","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/sites/horizon2020/files/styles/h2020_large/public/newsroom/noshan_1_7875_6.jpg","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/sites/horizon2020/files/styles/h2020_large/public/newsroom/fotolia_57374369_subscription_s_7952_1.jpg","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/sites/horizon2020/files/styles/h2020_large/public/newsroom/keyhole-5-7cm_8131_0.jpg","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/sites/horizon2020/files/styles/h2020_large/public/H2020-illu_copy.peshkova%20-%20Fotolia_0.jpg","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/all/467/feed","[ 404 ]",,"[ false ]","[ ""Control: Content type is not TEXT/HTML"" ]"
