url,domain,title,text,outlinks
"http://ec.europa.eu/commission/2014-2019_en",,"European Commission",,
"http://ec.europa.eu/index_lt.htm",,"Europos Komisija",,
"http://ec.europa.eu/contact/visit_en.htm",,"Visit the Commission",,
"http://ec.europa.eu/priorities/eu-us-free-trade/index_en.htm",,"EU-US Free Trade Agreement",,
"http://ec.europa.eu/index_mt.htm",,"Il-Kummissjoni Ewropea",,
"http://ec.europa.eu/index_pl.htm",,"Komisja Europejska",,
"http://ec.europa.eu/dgs/communication/about/contact_us/ec_spokespersons/index_en.htm",,"Spokesperson's Service",,
"http://ec.europa.eu/contact/members_en.htm",,"European Commission",,
"http://ec.europa.eu/index_fr.htm",,"Commission européenne",,
"http://ec.europa.eu/contracts_grants/beneficiaries_en.htm",,"EU contractors and beneficiaries of funding from the EU budget",,
"http://ec.europa.eu/priorities/digital-single-market/index_en.htm",,"EU Commission priority – digital single market",,
"http://ec.europa.eu/legislation/index_en.htm",,"European Commission",,
"http://europa.eu/youreurope/citizens/vehicles/index_en.htm",,"EU - Vehicles - Your Europe",,
"http://ec.europa.eu/contracts_grants/contracts_en.htm",,"European Commission",,
"http://europa.eu/youreurope/citizens/family/index_en.htm",,"EU - Family - Your Europe",,
"http://ec.europa.eu/contact/local_offices_en.htm",,"EU Local offices and information points",,
"http://ec.europa.eu/index_sv.htm",,"Europeiska kommissionen",,
"http://ec.europa.eu/priorities/energy-union/index_en.htm",,"Climate Action and Energy",,
"http://ec.europa.eu/index_el.htm",,"ÎÏÏÏÏÎ±ÏÎºÎ® ÎÏÎ¹ÏÏÎ¿ÏÎ®",,
"http://ec.europa.eu/atwork/index_en.htm",,"Commission's role in EU lawmaking",,
"http://ec.europa.eu/priorities/justice-fundamental-rights/index_en.htm",,"Justice and Fundamental Rights",,
"http://ec.europa.eu/priorities/democratic-change/index_en.htm",,"EU Commission priority – making the EU more democratic",,
"http://ec.europa.eu/priorities/migration/index_en.htm",,"EU Commission priority – migration",,
"http://ec.europa.eu/news/2014/11/20141126_en.htm",,"EU launches a €315 billion Investment Offensive to boost jobs and growth",,
"http://ec.europa.eu/index_da.htm",,"Europa-Kommissionen",,
"http://ec.europa.eu/index_bg.htm",,"ÐÐ²ÑÐ¾Ð¿ÐµÐ¹ÑÐºÐ° ÐºÐ¾Ð¼Ð¸ÑÐ¸Ñ",,
"http://ec.europa.eu/index_sk.htm",,"Európska komisia",,
"http://ec.europa.eu/index_sl.htm",,"Evropska komisija",,
"http://ec.europa.eu/contracts_grants/microfinance_en.htm",,"European Commission",,
"http://ec.europa.eu/index_it.htm",,"Commissione europea",,
"http://ec.europa.eu/your-rights/help/individuals/index_en.htm",,"European Commission",,
"http://ec.europa.eu/index_nl.htm",,"Europese Commissie",,
"http://ec.europa.eu/contracts_grants/funds_en.htm",,"European Structural & Investment Funds",,
"http://ec.europa.eu/index_ga.htm",,"An Coimisiún Eorpach",,
"http://ec.europa.eu/priorities/internal-market/index_en.htm",,"European Commission",,
"http://europa.eu/youreurope/citizens/residence/index_en.htm",,"EU - Residence - Your Europe",,
"http://ec.europa.eu/index_fi.htm",,"Euroopan komissio",,
"http://europa.eu/youreurope/citizens/education/index_en.htm",,"EU - Education & Youth - Your Europe",,
"http://ec.europa.eu/index_lv.htm",,"Eiropas Komisija",,
"http://ec.europa.eu/priorities/jobs-growth-investment/index_en.htm",,"EU Commission priority – jobs, growth, investment",,
"http://ec.europa.eu/contact/guide_activity_en.htm",,"Contact guide by Commission activity",,
"http://ec.europa.eu/yourvoice/consultations/index_en.htm",,"Open Consultations - Your Voice in Europe - European Commission - European Commission",,
"http://ec.europa.eu/policies/index_en.htm",,"European Commission",,
"http://europa.eu/rapid/press-release_MEMO-14-2130_en.htm",,"November infringements package: main decisions",,
"http://ec.europa.eu/about/index_en.htm",,"About the European Commission",,
"http://ec.europa.eu/index_ro.htm",,"Comisia EuropeanÄ",,
"http://ec.europa.eu/news/2014/11/20141125_en.htm",,"Opening the windows: Commission commits to enhanced transparency",,
"http://ec.europa.eu/index_pt.htm",,"Comissão Europeia",,
"http://ec.europa.eu/index_cs.htm",,"Evropská komise",,
"http://ec.europa.eu/priorities/economic-monetary-union/index_en.htm",,"A Deeper and Fairer Economic and Monetary Union",,
"http://ec.europa.eu/about/ds_en.htm",,"Departments (Directorates-General) and services",,
"http://ec.europa.eu/commission/2014-2019/president_en",,"Jean-Claude Juncker",,
"http://ec.europa.eu/index_es.htm",,"Comisión Europea",,
"http://europa.eu/youreurope/citizens/travel/index_en.htm",,"EU - Travel - Your Europe",,
"http://europa.eu/youreurope/business/index_en.htm",,"EUROPA - Your Europe",,
"http://europa.eu/youreurope/citizens/health/index_en.htm",,"EU - Health - Your Europe",,
"http://ec.europa.eu/index_et.htm",,"Euroopa Komisjon",,
"http://ec.europa.eu/priorities/global-actor/index_en.htm",,"A Stronger Global Actor",,
"http://ec.europa.eu/index_hr.htm",,"Europska komisija",,
"http://europa.eu/youreurope/citizens/shopping/index_en.htm",,"EU - Shopping - Your Europe",,
"http://ec.europa.eu/news/index_en.htm",,"European Commission",,
"http://ec.europa.eu/contracts_grants/grants_en.htm",,"European Commission",,
"http://europa.eu/youreurope/citizens/work/index_en.htm",,"EU - Work & Retirement - Your Europe",,
"http://ec.europa.eu/index_hu.htm",,"Európai Bizottság",,
"http://ec.europa.eu/index_de.htm",,"Europäische Kommission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/planning-future-wave-and-tidal-energy",,"Planning the future of wave and tidal energy",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546/",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/new-antibiotic-starts-long-journey-market",,"New antibiotic starts the long journey to market",,
"http://ec.europa.eu/programmes/horizon2020/en/news/new-analysis-aids-planning-climate-change",,"New analysis aids planning for climate change",,
"http://ec.europa.eu/programmes/horizon2020/en/news/exploring-nano-scale-scaffolds-mending-damaged-hearts",,"Exploring nano-scale scaffolds for mending damaged hearts",,
"http://ec.europa.eu/programmes/horizon2020/en/news/powering-towards-collaborative-maritime-navigation",,"Powering towards collaborative maritime navigation",,
"http://ec.europa.eu/programmes/horizon2020/en/news/uniting-experts-accelerator-technology",,"Uniting experts in accelerator technology",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/551/all",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/expanding-insight-alzheimers-disease",,"Expanding insight into Alzheimer's disease",,
"http://ec.europa.eu/programmes/horizon2020/en/news/design-product-mouse-click",,"From design to product with a mouse click",,
"http://ec.europa.eu/programmes/horizon2020/en/news/innovative-research-co2-capture-sustainable-energy-future",,"Innovative research on CO2 capture for a sustainable energy future",,
"http://ec.europa.eu/programmes/horizon2020/newsroom",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/547/",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/599/",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/promising-technologies-reduce-power-plant-emissions",,"Promising technologies to reduce power plant emissions",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/european-institute-innovation-and-technology-eit",,"European Institute of Innovation and Technology (EIT)",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/europe-changing-world-inclusive-innovative-and-reflective-societies",,"Inclusive, innovative and reflective societies",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/euratom",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/space",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/secure-clean-and-efficient-energy",,"Secure, Clean and Efficient Energy",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/access-risk-finance",,"Access to risk finance",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/climate-action-environment-resource-efficiency-and-raw-materials",,"Climate Action, Environment, Resource Efficiency and Raw Materials",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/excellent-science",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/european-research-infrastructures-including-e-infrastructures",,"European Research Infrastructures, including e-Infrastructures",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/information-and-communication-technologies",,"Information and Communication Technologies",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/industrial-leadership",,"Industrial Leadership",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/smart-green-and-integrated-transport",,"Smart, Green and Integrated Transport",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/secure-societies-%E2%80%93-protecting-freedom-and-security-europe-and-its-citizens",,"Secure societies – Protecting freedom and security of Europe and its citizens",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/european-research-council",,"European Research Council",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/fast-track-innovation-pilot-2015-2016",,"Fast Track to Innovation Pilot (2015-2016)",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/leadership-enabling-and-industrial-technologies",,"Leadership in Enabling and Industrial Technologies",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/spreading-excellence-and-widening-participation",,"Spreading Excellence and Widening Participation",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/innovation-smes",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/health-demographic-change-and-wellbeing",,"Health, Demographic Change and Wellbeing",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/marie-sklodowska-curie-actions",,"Marie Skłodowska-Curie actions",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/nanotechnologies-advanced-materials-advanced-manufacturing-and-processing-and",,"Nanotechnologies, Advanced Materials, Advanced Manufacturing and Processing, and Biotechnology",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/food-security-sustainable-agriculture-and-forestry-marine-maritime-and-inland-water",,"Food Security, Sustainable Agriculture and Forestry, Marine, Maritime and Inland Water Research and the Bioeconomy",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/societal-challenges",,"Societal Challenges",,
"http://ec.europa.eu/programmes/horizon2020/en/news/elecspin-2015-international-workshop-organic-and-graphene-electronics-and-spintronics",,"ELECspin 2015: ""International Workshop on Organic and Graphene ELECtronics and SPINtronics""",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/573",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/modernizing-public-sector-and-boosting-economic-growth-through-innovation-procurement",,"Modernizing the public sector and boosting economic growth through innovation procurement",,
"http://ec.europa.eu/programmes/horizon2020/en/news/smart-green-and-integrated-transport-information-day-save-date",,"Smart, Green and Integrated Transport Information Day, save the date!",,
"http://ec.europa.eu/programmes/horizon2020/en/news/citizens%E2%80%99-observatories-empowering-european-society-open-conference",,"Citizens’ Observatories: Empowering European Society",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom_events/573",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/brokerage-day-ict24-%E2%80%93-2015-robotics",,"Brokerage Day for ICT24 – 2015 Robotics",,
"http://ec.europa.eu/programmes/horizon2020/en/news/renaturing-cities-systemic-urban-governance-social-cohesion",,"Renaturing Cities: Systemic Urban Governance for Social Cohesion",,
"http://ec.europa.eu/programmes/horizon2020/en/news/information-day-horizon-2020-energy-efficiency-call",,"Information Day: Horizon 2020 Energy-efficiency Call",,
"http://ec.europa.eu/programmes/horizon2020/en/news/fast-track-innovation-pilot-2015-2016-free-interactive-information-event",,"Fast Track to Innovation Pilot (2015-2016)",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/573/all",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/imagine-you-are-living-europe-year-2030-what-does-it-look",,"Imagine you are living in Europe in the year 2030: what does it look like?",,
"http://ec.europa.eu/programmes/horizon2020/en/news/barbara-mazzolai-plantoid-project-robot-grows-plant-roots",,"Barbara Mazzolai on the PLANTOID project: ""A robot that grows like plant roots""",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/public-engagement-responsible-research-and-innovation",,"Public Engagement in Responsible Research and Innovation",,
"https://ecas.ec.europa.eu/cas/contact.html",,"Contact",,
"https://myintracomm.ec.europa.eu",,"Login",,
"https://ecas.ec.europa.eu/cas/login",,"Where are you from?",,
"https://ecas.ec.europa.eu/cas/privacyStatement.html",,"IAM Privacy Statement",,
"http://ec.europa.eu/programmes/horizon2020/en/news/%E2%80%9Cgendered-innovations-how-gender-analysis-contributes-research%E2%80%9D",,"“Gendered Innovations: How Gender Analysis Contributes to Research”",,
"http://ec.europa.eu/programmes/horizon2020/en/news/sanitation-gets-social",,"Sanitation gets social",,
"http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/calls/h2020-geri-2015-1.html",,"H2020-GERI-2015-1",,
"http://ec.europa.eu/programmes/horizon2020/en/news/commission-urges-governments-embrace-potential-big-data",,"Commission urges governments to embrace potential of Big Data",,
"http://ec.europa.eu/programmes/horizon2020/en/news/new-research-help-manage-migration-locally",,"New research to help manage migration locally",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/promoting-gender-equality-research-and-innovation",,"Promoting Gender Equality in Research and Innovation",,
"http://ec.europa.eu/programmes/horizon2020/en/news/call-integrating-society-science-and-innovation-0",,"Call for integrating Society in Science and Innovation",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/599/494",,"European Commission",,
"http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/calls/h2020-garri-2015-1.html",,"H2020-GARRI-2015-1",,
"http://ec.europa.eu/programmes/horizon2020/en/news/ict-enabled-public-sector-innovation-h2020-video",,"ICT-enabled public sector innovation in H2020",,
"http://ec.europa.eu/programmes/horizon2020/en/news/ict-enabled-public-sector-innovation-h2020",,"ICT-enabled public sector innovation in H2020",,
"http://ec.europa.eu/programmes/horizon2020/en/news/future-open-access-and-move-towards-open-data",,"The future for Open Access and the move towards Open Data",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/551/494",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/548/494",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/innovative-research-assist-start-ups-their-growing-pains",,"Innovative research to assist start-ups with their growing pains",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/ethics",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/h2020-info-day-public-sector-and-innovation-10022014",,"H2020 Info Day : Public Sector and Innovation (10/02/2014)",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/547/494",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/ourspace-toolkit-available-eparticipation",,"OurSpace TOOLKIT available (eParticipation)",,
"http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/calls/h2020-seac-2015-1.html",,"H2020-SEAC-2015-1",,
"http://ec.europa.eu/programmes/horizon2020/en/news/call-promoting-gender-equality-research-and-innovation",,"Call for promoting Gender Equality in Research and Innovation",,
